id,review,functionality,range_anxiety,availability,cost,ui,location,service_time,dealership
0,Reliable.... but under a eucalyptus tree that spreads lush.....,0,0,0,0,0,1,0,0
1,"Fast charging. It works, but lvl 2 works fine.",1,0,0,0,0,0,0,0
2,"So the dealer had all his cars serviced in every place, including the fast charger. I called them and asked them to at least get access to the fast charger, and they agreed, but never did anything, so I went and drove to Larry Hnissan. I was willing to pay because I was in a hurry and the Toyota dealer obviously does not want my business.",0,0,1,0,0,0,0,1
3,"No charging stations, but 220 & 110 sockets and really friendly people.",0,0,1,0,0,1,1,0
4,"Was only there at 21 o'clock on Jan 04, 2015. Works fine.",1,0,0,0,0,0,0,0
5,"One Tesla slot was ICE'd by staff car (saw him come out the side door and get something), but the Level 2 Creek charging station was open.",1,0,1,0,0,0,0,0
6,beautiful... and free.,0,0,0,1,0,0,0,0
7,Quick charger removed,1,0,1,0,0,0,0,0
8,Confirmed that it has not worked since 7-8am.,1,0,0,0,0,0,0,0
9,QC works great.,1,0,0,0,0,0,0,0
10,Great!,0,0,0,0,0,0,0,0
11,How do you get a Liberty Hydra account? Is that the only way to pay? I just bought a Chevy Spark and have no idea how it works.,0,0,0,0,1,0,0,0
12,"For instant access, dial either 1-800-663-5633 < OR > visit www.semacharge.com on your smartphone and ask for a smart card.",1,0,0,0,1,0,0,0
14,"My husband's car -- I was totally confused -- the salesman, Omar, saved my day, hooked me up, got me popcorn and invited me into the air-conditioned comfort of their showroom -- awesome!!!",0,0,0,0,0,1,0,0
15,"Great place to shop. Nice place, clean with available snacks. Meet three others at the store. We all had a great time.",0,0,0,0,1,1,0,0
16,4 electric vehicles in all accessible places that are not recharged,0,0,1,0,0,0,0,0
17,"7 / 5 / 2014 arrived at 16: 30, Quick Charge broke. Level 2 Charge Broke.Went to the service department, they can do nothing to help me. They say they do not service the device, the technology that maintains it is not there. I bought a brand new Nissan from them a few days ago and although the sale was great, very helpful, very patient, great price, but the service department could use some improvements.",1,0,0,0,0,0,0,1
18,very friendly and mobile dealer vehicle for me,0,0,0,0,0,1,0,1
19,The owner gave me a tour of his soup factory while I was recharging. Very nice guy. Apparently interested in electric vehicles.,0,0,0,0,0,1,0,0
20,Stand 1 is charged at 140 miles per hour.,0,0,0,0,0,0,1,0
21,"very empty property, although it is just around noon. Finally, however!",0,0,1,0,0,0,0,0
22,"I only charge a few hours, contact me if you need my space. Thanks Fatburger and Next Level!",0,0,0,0,1,0,0,0
23,"Yesterday from 3: 10 am to 4: 10 am no channels available, at 4: 15 am one channel available.Today at 5: 00 am no channels available, at 5: 55 am all three channels (front) available.",0,0,1,0,0,0,0,0
24,"EVSE installed, but not yet enabled or activated. Only Chademo connection in evse.",1,0,0,0,0,0,0,0
25,"Charged briefly on Friday, April 11. One of the bodies was blocked by a car... there is no signage only for campers.",0,0,1,0,0,0,0,0
26,"Here every Tuesday, remember to use your charging point app here... My car gets recharged and I stop it remotely, just like a $2 and change the charge. If you don't, it costs $5 because it charges you even when you're done charging.",1,0,0,1,0,0,0,0
27,Card reader does not work,1,0,0,0,0,0,0,0
28,http: / / gas2.org / 2014 / 08 / 20 / electric-car-etiquette-just-botched,0,0,0,0,1,0,0,0
29,"The power is on, but the doors for the charging cables are locked. Looks like it is a payment system, but no details on the charger.",1,0,0,0,0,0,0,0
30,"The 4 seats furthest from the platform are open to everyone, although most allocated seats are usually empty. Fully charged in just under 2 hours. I wish they would leave the property open on weekends as it is a very convenient location.",0,0,1,0,0,1,1,0
31,Charger works great now.,1,0,0,0,0,0,0,0
32,wild fire that casts ashes on all new cars... and on us.,0,0,0,0,0,1,0,0
33,QC does a great job,1,0,0,0,0,0,0,0
34,"The Prius only drives a maximum of 11 miles in ev mode, and considerate owners know there is a hierarchy at public charging stations.",0,0,0,0,1,0,0,0
35,A patch of ice.,0,0,1,0,0,0,0,0
36,Sales staff reported that a customer broke the handle of the fast charger this week.,1,0,0,0,0,0,0,0
37,"OK, switch off at 12: 00.",0,0,0,0,1,0,0,0
39,"Hello, nice Tesla, guy with the gray P85D (WA # ATH7982)! If you're not planning to recharge, why not park somewhere else instead of blocking a marked EV spot?",0,0,1,0,1,0,0,0
40,Silver leaf,0,0,0,0,0,0,0,1
41,Required call of AVI to restart,1,0,0,0,0,0,0,0
43,"208V x 40A, 14-50 socket, desk switch without socket, manager Matt allowed use. When leaving the lobby turn left and look for a small building next to the hotel that has socket. Parking is blocked with small cones to save space.",0,0,0,0,0,1,1,0
44,Station is a bit hard to find - watch out for a small power trip sign. What a great resource - saved us in a pinch!!,0,0,0,0,0,1,0,0
45,Just take a look,0,0,0,0,1,0,0,0
46,"2 days RV park rental - no problem. Fee per day was about $22 / day. Expensive electricity, but I was there for an automobile event - so it worked for me.",1,0,0,1,0,1,0,0
47,It is a private station. Pffffff (French),0,0,0,0,0,1,0,0
48,"Blink Chadmo / PGE is STILL down... Reports show it's been going down for a while, damn it.",1,0,0,0,0,0,0,0
49,"Dealer wanted to charge $8 per load, this is not what Nissan USA had agreed with the stealership, this dealer seems greedy to me and not very receptive to the needs of the leaf owner",0,0,0,1,0,0,0,1
50,"Charged last night at 10: 00 am, just enough to get home. Now, both stations are available. The small supply vehicle, which had been parked at one of them for months, was moved to the other side of the building.",1,1,1,0,0,1,0,0
51,There are actually 4 charging stations. Charged 8kW super. There is the old Spaghetti House just around the corner.,1,0,1,0,0,1,1,0
52,Error after a few minutes of charging time.,1,0,0,0,0,0,0,0
53,"I have written that they should relocate the disabled area, and it would be good if others did the same.",0,0,0,0,0,1,0,0
54,DCFC Timeout tries to communicate with my Spark EV. L2 Chargers ICE'd,1,0,1,0,0,0,0,0
55,"It took a while to find a place near a plug, but I was successful!",1,0,1,0,0,0,0,0
56,Great place! Love with Pay with PkugShare. So easy.,1,0,0,0,0,1,0,0
57,It works great!,1,0,0,0,0,0,0,0
58,"I had an hour to kill, so I charged my Volt. Read a book in the car because the library closed at 5: 00 p.m. The price was $3 per session. We'll see how it appears on the credit card.",1,0,0,1,0,1,1,0
59,Same vehicle problem for my 2013 sheet on the 440v fast charger. Attached photos of a fault.,1,0,0,0,1,0,0,1
60,Correction. neither charges. Mind blink meant charging. Come to find out if it is full. The other has no light on at all on the dashboard.,1,0,1,0,0,0,0,0
61,"Gajanan - You had a full charge after 2.5 hours (I doubt you bought cabbage for that long), so yes, it was okay to switch you off. Not okay to leave it there for that long, take the seat and charge the full charge... ultimate insult.",0,0,1,0,1,0,0,0
62,"I spoke today with the current maintenance contact from DWP about this charger. You know there is a problem (missing pin on the plug) and are waiting for the salesman (Nissan, I suspect) to fix it. He said that LADWP is holding internal meetings this week to start with a dedicated person for the maintenance of LADWP chargers, who will hopefully get a maintenance contact with Nissan so that problems can be fixed faster. If you are using this number, please be polite and know that he is NOT the one to fix these problems, but he is helping to coordinate the maintenance and ultimately a maintenance contract with Nissan. He was very informative and I thanked him for the information! Ruslan Sibagatullin213 367 4850",0,0,0,0,1,0,0,0
63,"The app says that the quick charger is ""in use."" No. When I arrived there yesterday, it was not activated. I called the support number and was told that it was ""offline."" No information and when this would change.",1,0,0,0,0,0,0,0
64,Both L2 chargers occupied,1,0,1,0,0,0,0,0
65,Great place to recharge,0,0,0,0,0,1,0,0
66,Charging on the way back to Lithuania.,0,1,0,0,0,0,0,0
67,"For instant access, dial either 1-800-663-5633 anytime < OR > visit www.semacharge.com on your smartphone.",1,0,0,0,1,0,0,0
68,"A Tesla owner pulled my load off, such an ass",0,0,0,0,1,0,0,1
69,"One blink worked, one was dead. Address and map position are good.",1,0,1,0,0,1,0,0
70,"We are sorry, but our DCFC looks broken again. Now it is inspected by the charger provider. Thanks, -NRCSV",1,0,0,0,0,0,0,0
71,low 5 kw all 3 seem to work. The one on the left has a bad touch screen but is booted up after 20 seconds.,1,1,0,0,0,0,1,0
72,"Before departure, a black sheet is inserted.",0,0,0,0,1,0,0,1
73,Charger with north orientation works with 6.6 W,1,0,0,0,0,0,1,0
74,Please note that this is not a Nissan No Charge to Charge station. You will be charged the full price.,0,0,0,1,1,0,0,1
75,Tesla 10 chargers now. I used the newer? pull ~ in forward type. 262 mi / h. All good,0,0,0,0,0,0,1,1
76,"My first supercharger! When I came back from Baltimore and didn't need a charge, but why not?! Used booth 2B and was the only Tesla there. Charged at 263 amps, 375 volts for top speeds of 360 miles per hour. WOW! So cool! Charges are basically right outside the service center on the south side of 95.",1,1,0,0,0,0,1,0
77,The 240V charger # 2 on the east side of the garage charges only at 16amps. # 1 charger good (208v / 30a),1,0,0,0,0,1,1,0
78,a bit too remote for late night recharging for my taste. good location during business hours though,0,0,0,0,0,1,0,0
79,"Great place to collect a fee when you visit the museums. About ten minutes walk away, but parking is much cheaper.",0,0,0,0,0,1,0,0
80,Both QC seem to be functioning. Charged on the left.,1,0,0,0,0,0,0,0
81,"Peak charging power: 30 Ampere, 240 Volt",1,0,0,0,0,0,0,0
82,There are 4 Coulomb ChargePoint J-1772 units. The database is outdated.,1,0,1,0,0,1,0,0
83,works great. Have you activated charger according to the instructions?,0,0,0,0,1,0,0,0
84,I'm climbing around the corner while my car is recharged. Feel free to unplug me if you need it.:),0,0,0,0,1,0,0,0
85,The problem of overheating persists at this site.,1,0,0,0,0,0,0,0
86,"If you are stuck in the terminal, talk to a service member and he is nice enough to give you a boost. I can't fully charge my Fiat, but he is kind enough to let me sit here so I can get home. _ x1f60a _",1,1,0,0,0,0,0,1
87,Western Minnesota Road Trip!,0,1,0,0,0,0,0,0
88,I charge here about once a month when I take Amtrak. Generally not on the ICE and usually in good condition.,1,0,1,0,0,0,0,0
89,"When I got here, there was a Tesla charge. I connected my Rav4, but after about 15 minutes, I received a notification that the charge stopped. I then met a guy who had this station's intake port of his Rav MELT. Apparently, they then added a thermal monitor that shut him off. So don't charge your Rav here!",1,0,0,0,0,0,0,0
90,"Touchscreens are dirty and intermittent, even within the same sequence or session. Right L3 stopped at 40% and would not restart in 3 attempts. L L2 is buzzing all day, R L2 screen is out. What kind of companies are these to let Toyota Blink and Larry Miller shut down their 220V and 500V devices?",1,0,0,0,0,0,0,0
91,"I called to start the quick charger, and the technician told me that the charger was now offline and they could not even activate it by phone. I asked them to update the electronic information so that people would not drive towards it, thinking they would get a fee.",1,0,0,0,0,0,0,0
92,"Charging in the rain should be more or less safe, as these devices have built-in ground disturbance protection. Nevertheless, I am not entirely comfortable with this.",0,0,0,0,1,0,0,0
93,Available around the clock!,0,0,0,0,0,1,0,0
94,"Station 2 would not be charged. Described as a charging station, they said not yet online",1,0,0,0,0,0,0,0
95,"Charging at 187 km / h, even if all four stations are filled for the Thanksgiving rush",0,0,0,0,0,0,1,0
97,"The impenetrable user finally arrived, I wish everyone would wrap the cord after loading and remove the car in time for the next car.",0,0,0,0,1,0,0,0
98,"Please note that it is only a 20 KW charger, as the panel does not allow a larger circuit breaker, but I am glad that your Tesla charges well with the Tesla adapter.",0,0,0,0,0,0,1,0
99,"There is a Level 2 EV plug, just not next to the quick chargers, a few places further.",1,0,0,0,0,1,0,0
100,The charger is located at the rear of the furthest service bridge on the right-hand side of the wall directly inside the bay. Switched on and started charging immediately.,1,0,0,0,0,1,0,0
101,"Every charger was iced. I parked in the only open charger ""in a reserved place"" and paid the fee of $2. Someone passed by and said that you could not park there. The servant had to move an ice so that I could park. They have 8 chargers, 7 usable, but they are all ice-blocked.",0,0,1,1,0,0,0,0
102,"terrible label. Car uses the fast charger, but the charge is done, people are nowhere to be found and it is in the locked position, so I can not just pull it off and use it.",0,0,0,0,1,0,0,0
103,"Arrived with 189 miles in the battery (so not much room to see the fast charge). See 172 miles per hour charging speed at Station 1B. It's a good thing that Christie has signed the agreement that allows zero-emission sellers to sell directly, given how much inventory there is here at this sales / service location.: -D",0,0,0,0,0,0,1,0
104,"We went to the zoo today and luckily two plugs were open, but when we came back normal cars were parked in all other slots except 1. I think the gas guzzlers parked in these rooms should be given a ticket. If I had used the plug, I would have parked twice behind the car and left my phone number on the windscreen to call me if they wanted to leave. I know that parking at the zoo is expensive, but come across people I know you can read!!!!!",1,0,1,0,1,1,0,0
106,"This place needs more charging stations, the only one here is always in operation.",0,0,1,0,0,0,0,0
107,Not right.,1,0,0,0,0,0,0,0
108,See http: / / romeoville.patch.com / articles / kohls-add-more-electric-car-charging-stations |,0,0,0,0,1,0,0,0
109,"I recharged my motorcycle there, at no cost!",1,0,0,0,0,1,0,0
110,They tear you off at the airline or with tutoring.:) - A former student of puzzles.,0,0,0,1,0,0,0,0
111,Broken and missing disc,1,0,0,0,0,0,0,0
112,Compliance with the 80% etiquette rule is at this point HIGH _ x1f44c _ Loooove loading here. Thank you.,0,0,0,0,1,0,0,0
113,error message. Then switched on and did not delete,1,0,0,0,0,0,0,0
114,"Beautiful setup, LED lighting, reliable charging points. Good hints to help you find the chargers. Well done",0,0,0,0,0,1,0,0
115,Sitting on the sofas in the shopping mall. Contact me if you want to reach me,0,0,0,0,1,0,0,0
116,"Had to throw the circuit breaker against the wall to extinguish the alarm light, could then recharge",1,0,0,0,0,0,0,0
117,The charger failed.,1,0,0,0,0,0,0,0
118,Please plug me in when you are available. Thank you. Blaise,0,0,0,0,1,0,0,0
119,Here is to hope that the Mystery Box is a dual CCS / Chademo charger. My spark would like to use it!,1,0,0,0,0,0,0,0
120,"* Not public, for employees or business visitors only. | Ten Levels 2 y1772 and one Level 3 CHAdeMO, Blink RFID card required, Fee: Blink account fees, located on the first floor of the employee parking structure, left of the entrance.",1,0,1,1,0,1,0,0
121,"Flat $2 / hour. Can be paid by credit card directly at the vending machine. No parking fees, but only available from 9pm-5pm when the museum is open. Closed on Tuesdays and Christmas. 4 chargers all working.",0,0,0,0,0,1,0,0
122,SAE works perfectly,1,0,0,0,0,0,0,0
123,"One charger was offline, the other could not read my card and could not process a guest code.",1,0,0,0,0,0,0,0
124,"I have added this station to plugshare. Since then, I have had no chance to load here. I am glad that it is available. I will be here for an hour, thank you.",0,0,0,0,1,0,0,0
125,L2 charging is all good,1,0,0,0,0,0,0,0
126,Tesla Model S charges at 19km / h.,0,0,0,0,0,0,1,1
127,"Charge at Outlet Mall, but 1 Mile to Casino",0,0,0,0,0,1,0,0
128,2 / 5 / 14 Stations working free of snow and light.,0,0,0,0,1,1,0,0
129,"Station ""offline"" and unavailable. Great! Now my mother-in-law and I are stranded. I will never trust these guys again.",1,1,0,0,0,0,0,0
130,Not right.: (,1,0,0,0,0,0,0,0
131,"The left side cannot start loading after authorization, the ""next"" button does not respond. 9 / 4 / 15",1,0,0,0,0,0,0,0
132,"Cannot be charged. Power is on, but the unit is not yet active in the network.",1,0,0,0,0,0,0,0
133,"Wrong!! For the first time in a year that I owned this Leaf, I was in a position where I might not make it home, at least not according to the schedule I had planned. The Leaf is now on the 220 charger of this inexcusable Nissan dealer. Call ahead and be careful, I think.",0,1,0,0,0,0,0,1
134,"The last three times I have been here, there is always someone with one of the two chargers in the ICE. Uncool. Fortunately, I was able to charge for free each time.",1,0,1,0,0,0,0,0
135,$1 for a 30-minute fast charge!,0,0,0,1,0,0,1,0
136,"I paid my first fee at the start of my 210-mile return trip to Monterey. I used the new SMUD (Sacramento) Fast SAE and Chademo. They charge only 20 cents / kWh and still make 100% profit on electricity. (about $2) I was not required to join ""green lots,"" but the guy on the phone was so kind that I will probably appear as similar to Chargepoint and offer reasonable prices. The security guard is very nice and would ""not really notice"" that a non-employee in the L2 loading bay (20 + chargers / spots) is mostly empty! There is also an L2 port on the east side of the visitor booth, but it is often used by EV staff for first-class parking.",0,1,0,1,0,1,0,1
137,Finally down to 5 Ampere! Unusable,0,0,0,0,0,0,1,0
138,"Updated Thursday, July 3, 2014 at 9: 45 AM EDT: Connecticut DOT & Tesla Motors will jointly update the charging signs at 2 Greenwich Service Plazas on Merritt Pkwy (CT-15).Due to the high occupancy rates at these locations, the stalls will be used for shared parking or charging of electric vehicles: The stalls are FIRST-COME, FIRST-SERVE; the vehicle can park for 15 minutes OR LIMITED 45 minutes; the vehicle must leave the stall after the EITHER parking OR charging cycle is complete. Thank you for your cooperation. Comments or questions should be directed to: Richard C. Hanley, P.E. Connecticut DOT Phone: 860-594-2887 Email: Richard.Hanley @ CT.gov",0,0,0,0,0,1,0,0
139,"two chargers, but the plug was faulty on one of them. Definitely open 24 hours",1,0,0,0,0,1,0,0
140,"People use these places as parking and do not bother to move their cars. At the same time - I, who do this 99% of the time after it is finished, got a hint that it is not nice to lock a charger (my car does it and I cannot fix it)! How about those who do not bother to move a car?? They deserve a huge sign as it looks.",0,0,1,0,0,0,0,0
141,3 Tesla charging stations and one charging station staffed by diesel trucks,0,0,1,0,0,0,0,1
142,"Worked fine, Thx AS",1,0,0,0,0,0,0,0
144,Part of the CHAdeMO connector is reportedly defective and may require additional care and several attempts at plugging in. The manufacturer has been notified.,1,0,0,0,0,0,0,0
145,We rounded off our way to Des Moines. Great restaurant / brewery! No fees.,1,1,0,0,0,1,0,0
146,"All bays are out of service, even those without ""out of service"" signs. You have phoned ChargePoint for far too long and it does not sound as if anything will be repaired in the foreseeable future.",1,0,0,0,0,0,0,0
147,"They replaced the broken ChargePoint station with a new Blink station. It costs 49 cents per kWh for guests, 39 for Blink members. If you do not have a Blink card, you can request a code to enter at the charging station via the Blink app.",1,0,0,1,0,0,0,0
148,CHAdeMO Fast Charger - works SAE Combo Fast Charger - unknown standard charger J1772 - does not work yet,1,0,0,0,0,0,0,0
149,Level 3 charging,1,0,0,0,0,0,0,0
150,My 2013 Leaf brakes very well after going to the dealer to reprogram the braking sensitivity.. Low center of gravity.... critical for emergency braking and turning,0,0,0,0,0,0,0,1
151,14-50 would not charge more than 12 km / h. MS warned that the wiring could be bad and reduced the traction force to 30 A.,1,0,0,0,0,0,1,0
152,"Requires about 2.5 hours. Ok, pull the plug when you need to charge. Please just plug it back in. Thank you.",0,0,0,0,1,0,0,0
153,"As I pulled the plug, I noticed the sign that they were no longer free. At least today, yours was not yet in force, so it looks like it will come soon.",0,0,0,1,0,1,0,0
154,The Level 2 charger has a smashed screen and the DCFC has wires running across its two touchscreens. Don't expect to be charging here any time soon.,1,0,0,0,0,0,0,0
155,Shop on the L2 to make it home to Amherst. This QC is very conveniently located to travel between Westma and Ostma. I hope they can repair it soon.,1,1,0,0,0,1,0,0
